Ingredient,Frequency
당근,266
타우린,183
고구마,174
염화콜린,149
염화칼륨,145
브로콜리,129
닭고기,127
사과,126
강황,123
블루베리,122
호박,110
연어오일,107
엽산,105
비타민E,105
시금치,104
아마씨,104
글루코사민,101
소금,97
탄산칼슘,96
크랜베리,91
완두콩,82
미네랄,82
코코넛오일,77
케일,76
L카르니틴,76
맥주효모,76
단호박,75
비타민합제,69
판토텐산칼슘,66
리보플라빈,66
감자,63
계란,62
이눌린,61
연어,60
정제수,59
감자전분,58
쌀,58
비타민,55
프락토올리고당,55
해바라기오일,54
로즈마리추출물,54
병아리콩,53
비타민B12,52
비타민D3,51
파슬리,51
녹색입홍합,51
아셀렌산나트륨,50
요오드산칼슘,48
글리세린,48
로즈힙,47
유카추출물,46
비타민A,46
완두,44
타피오카전분,44
천연향료,43
타피오카,42
비오틴,41
천일염,41
토마토,41
혼합토코페롤,40
계피,40
칠면조,39
레시틴,39
사탕무박,38
닭간,37
소고기,37
남방대구,37
양조효모,37
허브혼합,37
식물성글리세린,36
염화나트륨,35
인산삼칼슘,35
티아민질산염,35
미네랄합제,34
소르빈산칼륨,34
현미,33
렌틸콩,33
해바라기유,33
신선한 칠면조,33
라벤더,32
셀룰로오스,32
스피루리나,32
코코넛,32
쌀가루,32
토코페롤,31
닭지방,31
치커리뿌리,31
치아씨드,31
해초,31
참치,31
단근,31
비타민E보충제,30
피리독신 염산염,30
비타민B1질산염,30
DL메티오닌,30
비트,29
리보플라빈 보충제,29
미량광물질류합제,29
귀리,29
티아민,28
니아신,28
유카,28
양배추,28
알팔파,28
건조다시마,27
킬레이트아연아미노산,27
킬레이트철분아미노산,27
킬레이트구리아미노산,27
유기농 당근,27
정제소금,27
한천,26
비타민 E 보충제,26
해조분,26
비타민C,26
효모추출물,26
비타민 B12 보충제,25
세이지,25
로즈마리,25
오리고기,25
난각분말,25
MSM,25
닭가슴살,25
SHMP,25
염산피리독신,24
구리 단백질 화합물,24
호로파,24
비타민B2,24
녹차추출물,24
L라이신,24
인산칼슘,24
비타민D3보충제,23
비타민B12보충제,23
철 단백질 화합물,23
망간 단백질 화합물,23
프리바이오틱스,23
청어,23
이집트콩,23
보리,23
치즈,23
호박씨,22
아연,22
치커리이눌린,22
고등어,22
샐러리,22
아마인유,22
비타민A보충제,21
나이아신보충제,21
닭 간,21
아미노산합제,21
애호박,21
나이아신,21
박하,21
연어유,20
인산나트륨,20
나이아신 보충제,20
비타민 A 보충제,20
구리,20
비타민D,20
청경채,20
로즈마리 추출물,20
믹스토코페롤,20
마누카꿀,20
산도조절제,20
황태,20
스쿼시호박,19
건조 바실러스 코아귤런스 발효산물,19
아셀렌산 나트륨,19
비타민 D3 보충제,19
구연산,19
마리골드,19
정어리,19
사과분말,19
황산아연,19
유기농 호박,19
셀레늄효모,18
건조 락토바실러스 아시도필루스 발효산물,18
건조 비피도박테리움 롱검 발효산물,18
아연 단백질 화합물,18
비타민B1,18
칼슘,18
피리독신염산염,18
오리,18
오레가노,18
바질,18
고구마분말,18
렌즈콩,18
흰살생선,18
다시마분말,18
배,18
생선기름,18
유기농 고구마,18
점성 다당류,18
유기농 케일,17
카모마일,17
플라보노이드,17
구아검,17
카놀라유,17
프로폴리스,17
콜라겐,17
유기농 해바라기씨,17
프로필렌글리콜,17
페뉴그릭 씨,16
정제염,16
유기농 브로콜리,16
유기농 블루베리,16
비타민 E,16
어유,16
아연단백질화합물,16
토마토분말,16
천연토코페롤,16
마조람,16
비트펄프,16
유기농 현미,16
로즈마리분말,16
코코넛 오일,15
민들레,15
밀크시슬,15
페뉴그릭씨드,15
킬레이트망간아미노산,15
우엉뿌리,15
망간단백질화합물,15
잔탄검,15
닭기름,15
후코이단,15
캐롭분말,15
대두유,15
유기농 코코넛 오일,15
젤라틴,15
건조켈프,14
d판토텐산 칼슘,14
고수,14
초록입홍합,14
완두콩녹말,14
건조된켈프,14
신선한통호박,14
신선한통버터넛스쿼시,14
신선한통주키니,14
신선한통당근,14
신선한통사과,14
신선한통배,14
건조된치커리뿌리,14
신선한케일,14
신선한시금치,14
신선한순무잎,14
통크랜베리,14
통블루베리,14
마시멜로우뿌리,14
천연향,14
퀴노아,14
파프리카,14
비타민미네랄 합제,14
비타민제합제,14
스피루리나분말,14
치커리,14
아마인,14
유기농 녹두,14
소브산칼륨,14
칠면조 간,13
연어 오일,13
