"ID","NAME","PRICE","MAIN_IMG_URL","DESC_IMG_URL","INGREDIENTS","MAIN_CATEGORY_CODE","SUB_CATEGORY_CODE","ANIMAL_TYPE_CODE","PROTEIN_CODE"
"PR001910","디어니스트키친 부처블럭 파테 칠면조&오리 298g [10.5oz]",6000,"https://heendy-feed.s3.amazonaws.com/product_c2b7124d2152a12c3f9b0da7048ceec8a384618177a97d04dc10c50c664b65fb.png","https://heendy-feed.s3.amazonaws.com/product_a45c58c37da013c33535298f9c8296d0b2cbda2abbf3bc1b687198e51cccdcf6.png","케이지프리칠면조, 칠면조뼈육수, 칠면조간, 케이지프리오리, 고구마, 당근, 크랜베리, 한천, 연어오일, 건조다시마, 구리단백화합물, 철분단백화합물, 망간단백화합물, 아셀렌산나트륨, 아연단백화합물, 염화나트륨, 탄산칼슘, 염화칼륨, 마그네슘단백화합물, 인산삼칼슘, 비타민E보충제, 비타민A보충제, 나이아신보충제, 판토텐산칼슘, 티아민질산염, 리보플라빈, 염산리피독신, 엽산, 바티만B12보충제, 비타민D3보충제, 염화콜린","FD","43","DOG","P09"
"PR001911","디어니스트키친 부처블럭 파테 치킨&슈퍼그린 298g [10.5oz]",6000,"https://heendy-feed.s3.amazonaws.com/product_eeca0d7c75fd6d402db38eb3cf3e21dc1b26cff553bd6154ba9047854d8bbcac.png","https://heendy-feed.s3.amazonaws.com/product_ca091df452aeaf6511d8f7cb3f53bf281ba9e542d81c6e6f8b6e4988bbecf2a8.png","놓아 기른 닭고기, 놓아 기른 닭 뼈 육수, 놓아 기른 닭 간, 브로콜리, 당근, 케일, 시금치, 한천, 연어유, 건조 다시마, 구리단백화합물, 철분단백화합물, 망간단백화합물, 셀레늄효모, 아연단백화합물, 염화나트륨, 탄산칼슘, 염화칼륨, 마그네슘단백화합물, 인산삼칼슘, 비타민E보충제, 비타민A보충제, 나이아신보충제, 판토텐산칼슘, 티아민질산염, 리보플라빈, 염산피리독신, 엽산, 비타민B12보충제, 비타민D3보충제, 염화콜린","FD","43","DOG","P04"
"PR001912","디어니스트키친 원팟스튜 시멀드연어&치킨 298g [10.5oz]",6000,"https://heendy-feed.s3.amazonaws.com/product_524174cfc607c3c53ad9b33fcb8c4859f9b13cbb947d1cf38b83c03c164c7b69.png","https://heendy-feed.s3.amazonaws.com/product_5c1d438123c3bdb35f39084f32d1515c05dc00dcdf36ddf7b1f2bdd1ac46de37.png","생선뼈육수, 자연산연어, 케이지프리닭, 자연산명태, 현미, 브로콜리, 타피오카, 해바라기오일, 완두, 인산이칼슘, 코코넛오일, 염화나트륨, 비타민E보충제, 비타민A보충제, 나이아신보충제, 판토텐산칼슘, 티아민질산염, 리보플라빈, 염산피리독신, 염산, 비타민B12보충제, 염화콜린, 구리단백화합물, 철분단백화합물, 망간단백화합물, 아셀렌산나트륨, 아연단백화합물, 탄산칼슘, 염화칼륨, 건조다시마","FD","43","DOG","P09"
"PR001913","디어니스트키친 디하이드레이티드 그레인프리 칠면조 레시피 907g",52000,"https://heendy-feed.s3.amazonaws.com/product_42717a94e9bb311d060762d2f7a47501c0aaacb17e314b1dfe832ac99ad76d5e.png","https://heendy-feed.s3.amazonaws.com/product_2430b0fd09884ad2e523b16fc17340dc665666d08655cd648189fb4c81633640.png","수분을 제거한 놓아 기른 칠면조, 유기농 아마씨, 수분을 제거한 감자, 수분을 제거한 시금치, 수분을 제거한 당근, 건조된 유기농 코코넛, 건조된 사과, 수분을 제거한 계란, 건조된 바나나, 수븐을 제거한 샐러리, 건조된 크랜베리, 수분을 제거한 유기농 다시마, 인산삼칼슘, 염화칼륨, 염화콜린, 킬레이트아연아미노산, 킬레이트철분아미노산, 요오드화칼륨, 킬레이트구리아미노산, 아셀렌산나트륨, 타우린, 비타민E보충제, 비타민B12보충제, 티아민, 판토텐산칼슘, 리보플라빈, 비타민D3, EPA, DHA","FD","43","DOG","P11"
"PR001914","스텔라앤츄이스 탄탈라이즈 터키 디너패티 사료 397g",56000,"https://heendy-feed.s3.amazonaws.com/product_5dc84e2e431f47c238f7d989ce7df8fde0c8877e252e5ddacd6833a16c2dcf61.png","https://heendy-feed.s3.amazonaws.com/product_12ff706e6b3a03a51962d7ee194a4fcf34aac342d4ccd19f044ee63a6e7a99b9.png","칠면조, 칠면조 간, 칠면조 모래주머니, 호박씨, 크랜베리, 시금치, 브로콜리, 비트, 당근, 스쿼시호박, 블루베리, 페뉴그릭 씨, 염화칼륨, 건조켈프, 인산나트륨, 토코페롤, 염화콜린, 건조 페디오코커스 에시디락티시 발효산물, 건조 락토바실러스 아시도필루스 발효산물, 건조 비피도박테리움 롱검 발효산물, 건조 바실러스 코아귤런스 발효산물, 아연 단백질 화합물, 철 단백질 화합물, 타우린, 탄산칼슘, 비타민 E 보충제, 티아민질산염, 구리 단백질 화합물, 망간 단백질 화합물, 아셀렌산 나트륨, 나이아신 보충제, d판토텐산 칼슘, 리보플라빈 보충제, 비타민 A 보충제, 비타민 D3 보충제, 비타민 B12 보충제, 피리독신 염산염, 엽산","FD","43","DOG","P11"
"PR001915","스텔라앤츄이스 디너패티 치킨 397g",56000,"https://heendy-feed.s3.amazonaws.com/product_4cb6b7901f1ce2338fe448915769b437cdc83ff5e59b0861c91e0c789be8b7ee.png","https://heendy-feed.s3.amazonaws.com/product_bdf5e5ca429b7c861e487cc600d9002af734f3e073a1b4d7b9127383c51fde54.png","닭고기, 닭 간, 닭 모래주머니, 호박씨, 크랜베리, 시금치, 브로콜리, 비트, 당근, 스쿼시호박, 블루베리, 페뉴그릭 씨, 염화칼륨, 건조켈프, 인산나트륨, 토코페롤, 염화콜린, 건조 페디오코커스 에시디락티시 발효산물, 건조 락토바실러스 아시도필루스 발효산물, 건조 비피도박테리움 롱검 발효산물, 건조 바실러스 코아귤런스 발효산물, 아연 단백질 화합물, 철 단백질 화합물, 타우린, 탄산칼슘, 비타민 E 보충제, 티아민질산염, 구리 단백질 화합물, 망간 단백질 화합물, 아셀렌산 나트륨, 나이아신 보충제, d판토텐산 칼슘, 리보플라빈 보충제, 비타민 A 보충제, 비타민 D3 보충제, 비타민 B12 보충제, 피리독신 염산염, 엽산","FD","43","DOG","P04"
"PR001916","디어니스트키친 디하이드레이티드 그레인프리 칠면조 레시피 3.17kg",140000,"https://heendy-feed.s3.amazonaws.com/product_609855112fe1d699b59c5bb0030f998a254975ecfb3a6e78ce5e0735b3a23538.png","https://heendy-feed.s3.amazonaws.com/product_2430b0fd09884ad2e523b16fc17340dc665666d08655cd648189fb4c81633640.png","수분을 제거한 놓아 기른 칠면조, 유기농 아마씨, 수분을 제거한 감자, 수분을 제거한 시금치, 수분을 제거한 당근, 건조된 유기농 코코넛, 건조된 사과, 수분을 제거한 계란, 건조된 바나나, 수븐을 제거한 샐러리, 건조된 크랜베리, 수분을 제거한 유기농 다시마, 인산삼칼슘, 염화칼륨, 염화콜린, 킬레이트아연아미노산, 킬레이트철분아미노산, 요오드화칼륨, 킬레이트구리아미노산, 아셀렌산나트륨, 타우린, 비타민E보충제, 비타민B12보충제, 티아민, 판토텐산칼슘, 리보플라빈, 비타민D3, EPA, DHA","FD","43","DOG","P11"
"PR001917","스텔라앤츄이스 로우 코티드 키블 포 스몰브리드 사료 - 케이지 프리 치킨 1.6kg",45000,"https://heendy-feed.s3.amazonaws.com/product_2cfef7d289da071d2d7211dfc068c8381dbf792a4a3cbf4c7802200e464ebbd0.png","https://heendy-feed.s3.amazonaws.com/product_112fc3e1f15fca6b3d3ebcf18d4abf42171b80d50e809d668d092e3439e740ea.png","닭고기, 건조 닭고기, 완두콩, 렌틸콩, 닭 지방, 천연 닭고기 향, 연어 오일, 닭 간, 자연건조 알팔파, 닭 모래주머니, 아마씨, 닭 연골, 치아씨 오일, 페뉴그릭씨, 호박, 코코넛 오일, 호박씨, 크랜베리, 시금치, 비트, 당근, 스쿼시호박, 블루베리, 이눌린, 강황, 타임, 세이지, 로즈마리, 토코페롤 철 단백질 화합물, 구리 단백질 화합물, 망간 단백질 화합물, 아셀렌산 나트륨, 요오드산칼슘, 비타민 E 보충제, 티아민 질산염, 니아신 보충제, d판토텐산칼슘, 리보플라빈 보충제, 비타민 A 보퉁제, 비타민 D3 보충제, 비타민 B12 보충제, 피리독신 염산염, 엽산, 소금, 건조 페디오코커스 애시디락티시 발효산물, 건조 락토바실러스 아시도필루스 발효산물, 건조 비피도박테리움 롱검 발효산물, 건조 바실러스 코아귤런스 발효산물","FD","43","DOG","P04"
"PR001918","인섹트도그 미니 2kg",43000,"https://heendy-feed.s3.amazonaws.com/product_a8f77ade5d7f0993a4a61bbd0d4cfb4c541bdf81ae686ceba26ec97a41051c9e.png","https://heendy-feed.s3.amazonaws.com/product_34337d9bc5769ebc39cec150448d7e88b52525fbf8b5d8623bcc01a2a514d0d5.png","밀웜, 건조고구마, 완두콩가루, 가금류지방, 감자단백질, 건조감자, 비트섬유, 부분가수분해효모, 미네랄, 비타민, 니아신, 엽산, 비오틴, 타우린, L카르니틴, 철, 아연, 구리, 요오드, 셀레늄, 토코페롤, 허브와과일","FD","43","DOG","P08"
"PR001919","스텔라앤츄이스 밀믹서 터키 226g",38000,"https://heendy-feed.s3.amazonaws.com/product_cc0024d056dd8cb21563116f9418b3dc4743324ff6131f363209ecebdad964ad.png","https://heendy-feed.s3.amazonaws.com/product_bfa458d17755eccdfecca8c8a5f61182ed97f17e9849ef2d27d524f67f16fa37.png","칠면조, 칠면조 간, 칠면조 모래주머니, 호박씨, 크랜베리, 시금치, 브로콜리, 비트, 당근, 스쿼시호박, 블루베리, 페뉴그릭 씨, 염화칼륨, 건조켈프, 인산나트륨, 토코페롤, 염화콜린, 건조 페디오코커스 애시디락티시 발효산물, 건조 락토바실러스 아시도필루스 발효산물, 건조 비피도박테리움 롱검 발효산물, 건조 바실러스 코아귤런스 발효산물, 아연 단백질 화합물, 철 단백질 화합물, 타우린, 탄산칼슘, 비타민 E 보충제, 티아민질산염, 구리 단백질 화합물, 망간 단백질 화합물, 아셀렌산 나트륨, 나이아신 보충제, d판토텐산 칼슘, 리보플라빈 보충제, 비타민 A 보충제, 비타민 D3 보충제, 비타민 B12 보충제, 피리독신 염산염, 엽산","FD","43","DOG","P11"
"PR001920","프론티어 동결건조 비프 300g",39000,"https://heendy-feed.s3.amazonaws.com/product_0e98141f7f13e58a9df171d8a43826b0a75e3463fb351066aac2f8bc703cfbf8.png","https://heendy-feed.s3.amazonaws.com/product_f0f8503373e9004b2f34f052183e50189dbce002da0819e42a25a4748447d5bf.png","자유 방목 소의 생육과 장기, 자유 방복한 소의 그린트라이프, 사과, 당근, 쥬키니호박, 브로콜리, 고구마, 자유 방목 계란, 아몬드 분말, 햄프 분말, 녹색 잎 홍합, 해초 분말, 강황, 천일염, 비타민B1, 비타민D, 비타민E, 아연, 구리, 철분, 칼슘","FD","43","DOG","P01"
"PR001921","스텔라앤츄이스 로우 코티드 키블 사료 - LID 케이지 프리 터키 1.6kg",48000,"https://heendy-feed.s3.amazonaws.com/product_1d408209d2688ef31dd40e5a3f81194f8c598773749e159c6a459ae9ea048fa8.png","https://heendy-feed.s3.amazonaws.com/product_1cfaaff971d5ba72ce0b969351864e158b814ee3ba3f9186b85a1ed2a0900cde.png","칠면조, 건조 칠면조, 완두콩, 렌틸콩, 칠면조 지방, 아마씨, 천연 채소 향, 칠면조 간, 칠면조 모래주머니, 페뉴그릭씨, 염화칼륨, 연어 오일, 타우린, 토코페롤, 아연 단백질 화합물, 철 단백질 화합물, 구리 단백질 화합물, 망간 단백질 화합물, 아셀렌산 나트륨, 요오드산칼슘, 비타민 E 보충제, 티아민 질산염, 나이아신 보충제, d판토텐산칼슘, 리보플라빈 보충제, 비타민 A 보충제, 비타민 D3 보충제, 비타민 B12 보충제, 피리독신 염산염, 엽산, 소금, 건조 페디오코커스 애시디락티시 발효산물, 건조 락토바실러스 아시도필루스 발효산물, 건조 비피도박테리움롱검 발효산물, 건조 바실러스 코아귤런스 발효산물","FD","43","DOG","P11"
"PR001922","카루 데일리 디쉬 터키 스튜 354g",7500,"https://heendy-feed.s3.amazonaws.com/product_394be69b15ad98e670bf60bc5cf144bf41605bdc98648f65e8d770e4c864ce80.png","https://heendy-feed.s3.amazonaws.com/product_42cfaa02893dea3ef8ddf8dc5a3820174bc98e4cbcc114431a027aff47047fb8.png","정제수, 칠면조, 칠면조육수, 병아리콩, 사과, 당근, 완두콩, 호박, 해바라기오일, 아마씨, 타피오카전분, 난백, 탄산칼슘, 제삼인산칼슘, 염화칼륨, 염화콜린, 타우린, 비타민비타민E보충제, 비타민A보충제, 나이아신보충제, 판토텐산칼슘, 티아민, 리보플라빈보충제, 피리독신염산염, 엽산, 비타민B12보충제, 비타민D3보충제미네랄","FD","43","DOG","P11"
"PR001923","[유통기한 임박할인] 스텔라앤츄이스 솔루션 힙앤조인트 부스트(유통기한:2023.11.30)",53200,"https://heendy-feed.s3.amazonaws.com/product_c4f611ba8e92e041f1d028ebbe82d9fcf588def28ab3434d02d36a225034507a.png","https://heendy-feed.s3.amazonaws.com/product_2bef5da36de6ab89ddb21c27f84bca33591ce84e9339db84ea15d97ee05106c8.png","닭고기, 닭 간, 코코넛 가루, 아마씨, 닭 연골, 해바라기유, 염화콜린, 토코페롤, 뉴질랜드 녹색 홍합, 염화칼륨, 페뉴그릭 씨, 강황, 라벤더, L카르티닌, 인산나트륨, 건조 켈프, 철 단백질화합물, 타우린, 탄산칼슘, 비타민 E 보충제, 티아민질산염, 구리 단백질화합물, 망간 단백질화합물, 아셀렌산 나트륨, 나이아신 보충제, D판토텐산 칼슘, 리보플라빈 보충제, 비타민 A 보충제, 비타민 D3 보충제, 비타민 B12 보충제, 비타민 B12 보충제, 피리독신 염산염, 엽산","FD","43","DOG","P04"
"PR001924","지위픽 독 식품 사슴고기 2.5kg",277000,"https://heendy-feed.s3.amazonaws.com/product_0c5bcaf0a5cf2e145ef1ddbe78f88c0e39952ff83616cf06929f19616abc0a6c.png","https://heendy-feed.s3.amazonaws.com/product_1027db8ea954a9df1acec1abace4a451aa268040ee4137c0ecfd557ce1c15c39.png","사슴고기, 사슴위, 사슴심장, 사슴폐, 사슴간, 사슴신장, 뉴질랜드초록입홍합, 사슴뼈, 레시틴, 파슬리, 사과박, 치커리이눌린, 사슴연골, 미네랄, 해조분, 정제염, 구연산, 혼합토코페롤, 비타민합제","FD","43","DOG",""
"PR001925","스텔라앤츄이스 케이지 프리 터키 스튜 311g",8500,"https://heendy-feed.s3.amazonaws.com/product_2d1cdc20050bad5345d51e0c47a823c7eac13c58157c23ad7ea59b53603d1471.png","https://heendy-feed.s3.amazonaws.com/product_043f4d2e196c2ab8e8fe24bf1bc3ee0cd8a8ef96d870397c22f23597acb35c09.png","칠면조, 칠면조 뼈 육수, 유기농 당근, 타피오카 전분, 유기농 케일, 인산 삼칼슘, 탄산칼슘, 감자 전분, 소금, 염화칼륨, 염화콜린, 건조 켈프, 미네랄, 비타민","FD","43","DOG","P11"
